Object Name,Period Start,Period End,Possible Impacts,Cumulative Impact Probability,Asteroid Velocity,Asteroid Magnitude,Asteroid Diameter (km),Cumulative Palermo Scale,Maximum Palermo Scale,Maximum Torino Scale
2006 WP1,2017,2017,1,5.20E-09,17.77,28.3,0.007,-8.31,-8.31,0
2013 YB,2017,2046,23,7.60E-05,8.98,31.4,0.002,-6.6,-6.96,0
2008 US,2017,2062,30,1.60E-05,18.33,31.4,0.002,-6.48,-6.87,0
2010 VR139,2017,2076,24,2.00E-07,4.99,26.7,0.016,-6.83,-6.95,0
2015 ME131,2017,2096,85,2.30E-08,19.46,19.2,0.497,-3.85,-4.3,0
2010 XB73,2017,2110,55,2.80E-07,5.98,22.5,0.11,-5.03,-5.51,0
2005 TM173,2017,2111,123,9.00E-07,8.79,24.1,0.052,-5.41,-6.42,0
2006 SF281,2017,2111,514,1.90E-06,4.49,26.2,0.02,-5.91,-7.58,0
2010 VP139,2017,2112,350,1.80E-05,2.04,28.5,0.007,-6.51,-7.54,0
2014 HR197,2017,2112,187,7.90E-08,17.02,26.9,0.014,-7.18,-7.97,0
2015 HV182,2017,2113,509,7.10E-07,7.78,21.7,0.153,-4.14,-5.45,0
2008 SH148,2017,2113,163,8.10E-07,9.47,26.1,0.02,-6.57,-7.46,0
2008 XK,2017,2113,171,6.10E-07,9.03,27.2,0.012,-6.85,-7.5,0
2010 XC,2017,2113,332,3.30E-06,3.96,29.1,0.005,-7.25,-8.05,0
2010 MY112,2017,2114,440,7.00E-06,2.1,25.5,0.029,-4.9,-5.95,0
2014 MO68,2017,2114,262,1.50E-06,8.36,23.5,0.067,-5.06,-6.04,0
2009 FZ4,2017,2114,434,2.90E-06,10.11,25.2,0.031,-5.21,-6.03,0
2008 VS4,2017,2114,300,5.90E-07,8.31,24.1,0.051,-5.44,-6.6,0
2009 VZ39,2017,2114,924,7.10E-06,6.33,27.9,0.009,-6.22,-7.61,0
2014 JT79,2017,2114,861,1.00E-06,12.02,26.6,0.016,-6.23,-7.31,0
2008 VL,2017,2114,615,1.30E-05,9.68,27.9,0.009,-6.33,-7.46,0
2010 WW8,2017,2114,92,5.70E-07,4.45,26.9,0.015,-7.02,-7.73,0
2008 EM68,2017,2115,1144,1.30E-05,14.54,27.8,0.01,-5.31,-5.65,0
2015 HW182,2017,2115,174,5.70E-08,10.76,25.2,0.031,-6.69,-7.17,0
2012 BP123,2017,2115,228,5.90E-07,4.6,27.1,0.013,-7.24,-8.11,0
2008 EK68,2017,2115,315,5.00E-06,7.43,29.8,0.004,-7.6,-8.87,0
2005 ED224,2018,2064,6,3.00E-06,25.24,24,0.054,-3.74,-4.07,0
2014 MV67,2018,2074,6,1.80E-09,12.89,19,0.541,-4.79,-5.01,0
2016 JT38,2018,2088,32,6.00E-09,13.43,21,0.212,-5.41,-5.89,0
2008 JD33,2018,2106,133,1.10E-07,5.07,27.9,0.01,-7.87,-8.77,0
2005 NX55,2018,2107,72,2.20E-08,25.14,21.9,0.142,-5.17,-5.85,0
2008 UY91,2018,2107,36,2.10E-08,16.2,24.6,0.041,-6.95,-7.74,0
2014 OY391,2018,2112,128,8.80E-07,14.81,26,0.022,-5.88,-6.43,0
2010 JA43,2018,2113,96,8.40E-08,15.13,21.6,0.159,-4.95,-5.53,0
2015 HS182,2018,2113,122,5.90E-08,7.56,25.8,0.024,-7.31,-8.3,0
2011 CF66,2018,2114,808,1.50E-05,12.52,27.8,0.01,-6.04,-7.18,0
2016 AZ193,2018,2114,398,2.30E-06,6.73,26.6,0.016,-6.27,-7.16,0
2016 JO38,2018,2115,466,9.60E-07,7.41,24.8,0.037,-5.61,-6.27,0
2014 HD198,2018,2115,78,8.10E-06,17.54,29.6,0.004,-6.46,-6.58,0
2006 QV89,2019,2041,12,7.60E-05,5.16,25.3,0.03,-3.35,-3.35,0
2008 VB4,2019,2103,22,1.50E-07,11.84,28.3,0.007,-7.72,-8.03,0
2008 UV99,2019,2111,32,1.60E-07,15.6,19.6,0.399,-3.44,-3.55,0
2010 DJ77,2019,2113,53,6.20E-08,17.04,21.1,0.2,-4.45,-5.24,0
2014 ML67,2019,2113,33,7.00E-07,21.18,24.2,0.05,-4.98,-5.21,0
2004 ME6,2019,2113,51,1.60E-07,11.77,22.6,0.1,-5.41,-6.06,0
2007 FT3,2019,2114,138,1.10E-06,17.05,20,0.34,-3.08,-3.67,0
2014 MA68,2019,2115,454,2.00E-05,4.95,25.9,0.022,-5.16,-6.03,0
2016 RP41,2019,2115,62,4.10E-08,8.46,22.5,0.11,-5.65,-6.15,0
2012 BL14,2019,2115,520,1.70E-05,19.82,28.2,0.008,-5.71,-6.14,0
2014 HN198,2019,2115,170,1.20E-07,9.65,25.7,0.024,-7.01,-7.77,0
2016 NL56,2019,2116,225,1.30E-06,13.07,21.4,0.188,-3.04,-3.37,0
2001 YN2,2020,2020,1,1.40E-09,18.49,24.9,0.035,-7.65,-7.65,0
2001 UO,2020,2020,1,6.20E-10,16.28,24.1,0.051,-7.65,-7.65,0
2008 VM,2020,2031,3,3.60E-05,10.26,30.2,0.003,-6.49,-6.49,0
2001 CA21,2020,2077,6,6.50E-09,30.68,18.5,0.679,-3.98,-4.25,0
2016 JP38,2020,2087,28,1.80E-08,10.02,24.4,0.044,-6.74,-7.08,0
2008 YD3,2020,2104,45,1.90E-07,8.46,26,0.021,-7.07,-7.55,0
2010 UJ,2020,2108,103,6.10E-06,2.84,26.2,0.019,-5.74,-6.16,0
2010 AU118,2020,2112,38,1.80E-08,25.22,16.2,1.9,-2.73,-3.16,0
2009 TB,2020,2112,35,7.10E-06,10.84,29.2,0.005,-6.35,-6.91,0
2016 WN55,2020,2113,48,4.80E-06,0.34,25.6,0.028,-4.06,-4.33,0
2012 BK14,2020,2113,663,4.90E-05,3.67,28,0.009,-5.81,-6.88,0
2012 TC4,2020,2114,79,8.50E-05,6.51,26.7,0.015,-4.74,-5.81,0
2007 YM,2020,2114,239,4.40E-06,7.69,26.3,0.019,-5.91,-6.91,0
2015 HQ182,2020,2114,216,1.60E-07,6.9,24.9,0.035,-6.65,-7.29,0
2016 PO66,2020,2115,377,1.20E-06,25.47,21.9,0.138,-4.14,-5.32,0
2010 XN69,2020,2115,147,7.30E-05,6.63,26.3,0.019,-4.89,-6.01,0
2015 YV20,2020,2115,130,2.60E-07,5.94,22.4,0.113,-5.21,-5.81,0
2010 LJ68,2020,2115,39,3.50E-07,9.69,22.9,0.089,-5.37,-6.07,0
2015 HO182,2020,2115,49,4.80E-08,9.63,27,0.013,-8.06,-8.71,0
2017 AA21,2020,2116,210,4.30E-06,7.71,26,0.021,-5.54,-5.85,0
2016 VA18,2020,2116,521,3.80E-06,7.47,28.3,0.007,-6.78,-7.38,0
2016 QY84,2020,2116,703,3.60E-05,3.15,31.6,0.002,-7.41,-8.32,0
2017 AE21,2020,2117,90,3.20E-06,4.97,25,0.034,-4.87,-5.42,0
2017 AY20,2021,2021,1,1.50E-10,19.78,20.1,0.33,-6.22,-6.22,0
2008 UM1,2021,2079,5,5.00E-07,19.03,31.6,0.002,-8.39,-8.41,0
2010 CA55,2021,2087,6,6.30E-08,24.03,22,0.14,-4.64,-4.73,0
2010 XQ,2021,2112,60,1.90E-07,9.82,25.2,0.031,-6.71,-7.31,0
2015 HM182,2021,2112,81,1.00E-07,7.25,29,0.005,-8.88,-9.47,0
2006 CD,2021,2113,56,1.90E-08,11.19,21,0.214,-5.4,-6.34,0
2016 PR66,2021,2113,26,2.00E-08,9.88,23.3,0.073,-6.45,-6.67,0
2011 CW46,2021,2113,14,9.00E-09,16.62,24.7,0.039,-7.51,-7.9,0
2015 MC131,2021,2114,30,5.90E-07,4.53,25.1,0.033,-6.27,-6.5,0
2014 JV79,2021,2114,164,2.90E-07,11.17,25.2,0.031,-6.29,-7.12,0
2010 XP,2021,2114,63,9.00E-08,8.96,26.7,0.016,-7.63,-8.03,0
2010 HP20,2021,2115,564,4.10E-05,7.66,28.2,0.008,-5.98,-7.46,0
2016 JG38,2021,2115,119,6.20E-08,17.18,24.2,0.05,-6.42,-7.39,0
2009 JF1,2022,2022,1,0.00024,23.92,27.1,0.013,-3.43,-3.43,0
2010 CA,2022,2022,1,2.50E-09,14.7,24.4,0.044,-7.32,-7.32,0
2014 NJ65,2022,2041,4,7.30E-10,8.57,19.3,0.461,-5.82,-5.95,0
2007 SN6,2022,2059,2,6.00E-08,18.34,25,0.033,-6.88,-7,0
2015 BS516,2022,2103,30,2.00E-08,13.04,19.9,0.36,-4.81,-5.22,0
2009 FG,2022,2103,31,8.00E-06,9.12,25.5,0.027,-5.47,-5.91,0
2011 KF36,2022,2106,8,1.20E-09,22.32,20.4,0.28,-5.9,-6.46,0
2003 UM3,2022,2112,82,1.60E-06,13.82,28.1,0.008,-7.16,-7.94,0
2007 KO4,2022,2114,248,4.20E-06,13.71,23.3,0.075,-4.43,-5.14,0
2010 VO139,2022,2114,192,1.60E-06,20.58,26.6,0.016,-6.22,-7.37,0
2009 JE1,2022,2114,10,7.30E-08,6.03,27.2,0.012,-8.23,-8.62,0
2006 GU2,2022,2115,61,1.70E-05,7.3,27.8,0.009,-6.44,-7.09,0
2014 HJ198,2022,2115,114,6.40E-07,21.89,26.8,0.015,-6.8,-7.7,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
